Trait,Achiever,Activator,Adaptability,Analytical,Arranger,Belief,Command,Communication,Competition,Connectedness,Context,Deliberative,Developer,Discipline,Empathy,Consistency,Focus,Futuristic,Harmony,Ideation,Includer,Individualization,Input,Intellection,Learner,Maximizer,Positivity,Relator,Responsibility,Restorative,Self-Assurance,Significance,Strategic,Woo
Achiever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activator,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptability,0.13,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytical,0.35,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arranger,0.3,0.09,0.14,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belief,0.23,0.07,0.16,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command,0.29,0.28,0.13,0.13,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,0.2,0.2,0.18,0.04,0.11,0.09,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competition,0.49,0.15,0.11,0.15,0.06,0.05,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Connectedness,0.16,0.07,0.18,0.04,0.09,0.22,0.01,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Context,0.22,0.06,0.16,0.15,0.08,0.11,0.03,0.07,0.08,0.16,,,,,,,,,,,,,,,,,,,,,,,,
Deliberative,0.27,0.02,0.17,0.27,0.05,0.008,0.05,0.01,0.09,0.07,0.11,,,,,,,,,,,,,,,,,,,,,,,
Developer,0.16,0.04,0.22,0.03,0.11,0.21,0,0.1,0.01,0.2,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,
Discipline,0.38,0.04,0.03,0.16,0.07,0.09,0.01,0.08,0.07,0.06,0.06,0.13,0.13,,,,,,,,,,,,,,,,,,,,,
Empathy,0.14,0.06,0.3,0.02,0.08,0.12,0.01,0.13,0.02,0.2,0.06,0.06,0.37,0.06,,,,,,,,,,,,,,,,,,,,
Consistency,0.22,0.03,0.21,0.13,0.08,0.09,0.01,0.08,0.04,0.08,0.08,0.15,0.18,0.18,0.29,,,,,,,,,,,,,,,,,,,
Focus,0.55,0.08,0.02,0.23,0.06,0.05,0.08,0.07,0.27,0.02,0.05,0.12,0.03,0.17,0.04,0.08,,,,,,,,,,,,,,,,,,
Futuristic,0.29,0.14,0.1,0.09,0.08,0.09,0.06,0.11,0.17,0.09,0.04,0.06,0.06,0.05,0.11,0.04,0.12,,,,,,,,,,,,,,,,,
Harmony,0.2,0.03,0.22,0.12,0.11,0.11,0.01,0.09,0.04,0.11,0.09,0.12,0.22,0.13,0.32,0.35,0.03,0.04,,,,,,,,,,,,,,,,
Ideation,0.21,0.14,0.21,0.1,0.06,0.07,0.07,0.1,0.09,0.16,0.08,0.06,0.06,0,0.12,0.01,0.02,0.17,0.02,,,,,,,,,,,,,,,
Includer,0.21,0.06,0.26,0.04,0.13,0.14,0.01,0.21,0.05,0.11,0.05,0.02,0.23,0.04,0.28,0.14,0.02,0.07,0.21,0.08,,,,,,,,,,,,,,
Individualization,0.28,0.11,0.09,0.12,0.15,0.07,0.04,0.11,0.08,0.14,0.08,0.07,0.12,0.05,0.19,0.03,0.04,0.11,0.11,0.16,0.04,,,,,,,,,,,,,
Input,0.26,0.07,0.14,0.07,0.07,0.08,0.02,0.09,0.04,0.21,0.11,0.07,0.11,0.03,0.18,0.05,0.02,0.08,0.12,0.19,0.05,0.14,,,,,,,,,,,,
Intellection,0.23,0.04,0.16,0.1,0.03,0.06,0.02,0.02,0.03,0.23,0.13,0.13,0.09,0.04,0.18,0.06,0.02,0.08,0.13,0.21,0.02,0.1,0.53,,,,,,,,,,,
Learner,0.44,0.06,0.06,0.14,0.1,0.09,0.02,0.05,0.06,0.15,0.1,0.09,0.08,0.05,0.1,0.05,0.06,0.09,0.11,0.16,0.04,0.17,0.33,0.24,,,,,,,,,,
Maximizer,0.28,0.12,0.17,0.08,0.17,0.08,0.03,0.14,0.09,0.12,0.05,0.06,0.09,0.05,0.16,0.07,0.04,0.13,0.12,0.15,0.07,0.14,0.13,0.08,0.2,,,,,,,,,
Positivity,0.2,0.11,0.22,0.01,0.14,0.12,0.01,0.24,0.05,0.14,0.04,0,0.27,0.03,0.3,0.07,0.02,0.09,0.16,0.1,0.22,0.1,0.13,0.04,0.13,0.15,,,,,,,,
